fid;area;MNH_max;genus;species;height;numero;classe;conifere;Intensity_mean;Intensity_stdev;Nbreturns_mean;Nbreturns_stdev
7370;47.9600000000186;9.46841239929199;Celtis;australis;10.97;9;Feuillu;2;1833.66138448707;771.607727955048;1.27022518765638;0.518584587421734
21728;25.2400000000978;9.46871948242188;Celtis;australis;10.4;9;Feuillu;2;1729.72063492063;752.656858968267;1.38730158730159;0.542625031599277
14057;52.3599999994133;9.46900939941406;Celtis;australis;11.08;9;Feuillu;2;1676.62719633308;1134.02685893465;1.44614209320092;0.665333346992941
4798;44.5200000003865;9.47504425048828;Celtis;australis;9.8;9;Feuillu;2;2062.95867026056;656.783661616264;1.25876010781671;0.509987481963934
4366;33.8800000006612;9.47618865966797;Celtis;australis;9.91;9;Feuillu;2;1502.61983471074;640.591856264662;1.48170011806375;0.691887850673977
1176;42.160000000298;9.47645568847656;Celtis;australis;8.09;9;Feuillu;2;1913.30058365759;968.303091778756;1.57490272373541;0.682773363016964
11286;55.2400000008894;9.47814178466797;Celtis;australis;10.94;9;Feuillu;2;1748.35264301231;837.536991634061;1.6545981173063;0.826008830429321
6833;45.8000000001164;9.47820854187012;Celtis;australis;10.24;9;Feuillu;2;1657.35614035088;745.928253338726;1.51491228070175;0.68232477425966
8055;34.1999999997439;9.4793815612793;Celtis;australis;10.13;9;Feuillu;2;1486.14736842105;645.627531380672;1.31812865497076;0.524787905749552
14125;21.6799999995437;9.48240089416504;Celtis;australis;11.56;9;Feuillu;2;1462.88745387454;677.296844085845;1.44280442804428;0.594760234598244
8973;48.0799999987055;9.48801708221436;Celtis;australis;9.8;9;Feuillu;2;1671.55823627288;636.505374577811;1.2396006655574;0.467758317787921
14028;59.9600000003446;9.48965072631836;Celtis;australis;12.0;9;Feuillu;2;1533.40026684456;738.375658886238;1.33355570380253;0.552284447369611
3251;39.1600000003446;9.49420547485352;Celtis;australis;10.86;9;Feuillu;2;1312.43105209397;550.23059526279;1.59550561797753;0.685334648107724
8381;23.2799999999395;9.49763870239258;Celtis;australis;10.09;9;Feuillu;2;1750.78103448276;848.593953906005;1.36551724137931;0.585029243046857
18478;19.3199999994086;9.49863147735596;Celtis;australis;10.19;9;Feuillu;2;2406.96480331263;670.478569544732;1.10144927536232;0.346616253423226
4337;43.4399999992829;9.50246429443359;Celtis;australis;8.99;9;Feuillu;2;1757.3664825046;781.134321905113;1.42909760589319;0.603885909100169
12763;90.2399999992599;9.50410461425781;Celtis;australis;9.84;8;Conifère;1;1449.24157801418;719.533751635669;1.77526595744681;0.751788600259014
17077;84.0000000003493;9.50506591796875;Celtis;occidentalis;10.52;9;Feuillu;2;1413.8719047619;720.706534471352;1.69952380952381;0.710934838554989
1233;72.5200000002002;9.50700378417969;Celtis;australis;9.79;9;Feuillu;2;2237.88472145615;759.576170361266;1.24434638720353;0.504122306352516
8741;44.0399999998882;9.5075855255127;Celtis;australis;9.97;9;Feuillu;2;1977.17438692098;781.005144600573;1.28428701180745;0.522011554418731
1809;51.4800000020117;9.50765991210938;Celtis;australis;10.32;9;Feuillu;2;1850.91530691531;774.907160776823;1.51903651903652;0.695910802903075
12434;48.2399999996322;9.50970458984375;Celtis;australis;9.67;9;Feuillu;2;1436.44278606965;651.485073216376;1.6318407960199;0.745654805578258
18543;54.3599999998324;9.50974941253662;Celtis;australis;9.8;9;Feuillu;2;2046.10228108904;814.956547450971;1.23841059602649;0.485821764153226
1355;45.9599999998091;9.51797485351562;Celtis;australis;10.38;9;Feuillu;2;2029.38576449912;861.786615216562;1.402460456942;0.594107792554927
19347;12.6400000004238;9.51800155639648;Celtis;australis;9.83;9;Feuillu;2;935.882911392405;509.947529777036;2.86392405063291;1.01124802917493
12529;29.799999998603;9.51876831054688;Celtis;australis;9.79;9;Feuillu;2;1944.96912751678;699.007766843326;1.28053691275168;0.538912383752943
6676;50.2800000005914;9.51938629150391;Celtis;australis;9.65;9;Feuillu;2;1996.33651551313;980.82984309662;1.3357199681782;0.550060511192704
4427;27.199999999674;9.51966667175293;Celtis;australis;10.6;9;Feuillu;2;1758.69852941176;869.593317049218;1.32205882352941;0.569402573455229
17971;36.0400000017509;9.52594375610352;Celtis;australis;10.59;9;Feuillu;2;1610.54495005549;841.451369837802;1.58712541620422;0.774461006103956
11753;41.6400000007963;9.53199768066406;Celtis;australis;9.99;9;Feuillu;2;1833.4888457808;941.117694891017;1.31813773035887;0.537309120183787
12732;78.4399999991665;9.5328369140625;Celtis;australis;9.8;8;Conifère;1;1226.13105558389;705.345476604192;1.88271290158083;0.764799243192862
